idno,cntry,region,regunit,dweight,pweight,unique_id,F1W,F2W,F3W,F4W,F5W,nuts1,nuts2,nuts3
50014,AT,AT31,2,1.1851145,0.33091453,AT50014,-1.075,-0.352,-0.452,0.445,0.012,AT3,AT31,NA
50030,AT,AT22,2,0.6098981,0.33091453,AT50030,-1.636,1.007,1.464,-2.044,0.602,AT2,AT22,NA
50057,AT,AT33,2,1.3923296,0.33091453,AT50057,1.095,0.228,2.671,-0.076,-0.031,AT3,AT33,NA
50106,AT,AT31,2,0.5560615,0.33091453,AT50106,-0.337,0.348,0.203,-1.107,-1.26,AT3,AT31,NA
50145,AT,AT32,2,0.7227953,0.33091453,AT50145,-0.392,0.366,3.791,0.666,1.746,AT3,AT32,NA
50158,AT,AT33,2,0.9926053,0.33091453,AT50158,0.422,0.103,0.343,-0.006,-2.015,AT3,AT33,NA
50212,AT,AT12,2,0.81462234,0.33091453,AT50212,1.529,-0.109,1.847,2.102,1.541,AT1,AT12,NA
50213,AT,AT11,2,1.3649563,0.33091453,AT50213,0.802,0.065,0.484,-0.965,0.921,AT1,AT11,NA
50235,AT,AT31,2,0.872949,0.33091453,AT50235,-2.391,-1.553,-3.3,2.808,1.971,AT3,AT31,NA
50236,AT,AT13,2,0.6989865,0.33091453,AT50236,-0.713,-0.24,0.85,1.264,0.608,AT1,AT13,NA
50238,AT,AT31,2,0.8320375,0.33091453,AT50238,-0.073,-0.427,1.878,-0.816,0.566,AT3,AT31,NA
50240,AT,AT31,2,0.87345386,0.33091453,AT50240,0.312,0.234,-0.099,3.457,2.739,AT3,AT31,NA
50248,AT,AT31,2,0.9025512,0.33091453,AT50248,-2.119,-0.601,-1.798,-3.64,-3.884,AT3,AT31,NA
50270,AT,AT32,2,0.58181804,0.33091453,AT50270,1.645,0.566,-0.462,2.424,0.646,AT3,AT32,NA
50281,AT,AT13,2,0.69352174,0.33091453,AT50281,-0.004,0.221,2.627,-2.008,-1.579,AT1,AT13,NA
50310,AT,AT22,2,2.3245115,0.33091453,AT50310,1.471,0.815,0.686,1.627,-0.527,AT2,AT22,NA
50311,AT,AT33,2,0.9926053,0.33091453,AT50311,-1.428,-0.306,-0.32,-0.057,-1.184,AT3,AT33,NA
50341,AT,AT33,2,0.48294935,0.33091453,AT50341,0.107,-0.225,-0.546,2.85,2.583,AT3,AT33,NA
50349,AT,AT33,2,0.9926053,0.33091453,AT50349,-0.229,-0.408,0.255,1.051,0.967,AT3,AT33,NA
50355,AT,AT13,2,0.7366085,0.33091453,AT50355,-1.259,0.194,-1.365,-1.956,-2.415,AT1,AT13,NA
50358,AT,AT34,2,1.9501987,0.33091453,AT50358,-1.633,0.773,-3.561,-2.333,-4.371,AT3,AT34,NA
50363,AT,AT12,2,1.9560468,0.33091453,AT50363,0.623,0.892,0.588,-0.216,-0.037,AT1,AT12,NA
50367,AT,AT22,2,0.6098981,0.33091453,AT50367,1.655,-0.289,0.2,-3.283,-2.454,AT2,AT22,NA
50375,AT,AT12,2,1.4462273,0.33091453,AT50375,0.809,-0.069,0.29,-0.652,0.89,AT1,AT12,NA
50380,AT,AT31,2,1.298475,0.33091453,AT50380,-1.768,0.751,-3.378,-3.12,-3.07,AT3,AT31,NA
50412,AT,AT22,2,1.329427,0.33091453,AT50412,1.022,-0.049,-0.547,-0.751,0.648,AT2,AT22,NA
50423,AT,AT22,2,0.4598905,0.33091453,AT50423,-1.998,-0.453,0.492,-2.183,-2.029,AT2,AT22,NA
50427,AT,AT32,2,1.4547197,0.33091453,AT50427,-0.777,-0.715,-1.204,-3.881,-3.772,AT3,AT32,NA
50433,AT,AT13,2,0.6670056,0.33091453,AT50433,1.872,-0.089,2.164,-0.882,-0.217,AT1,AT13,NA
50441,AT,AT11,2,0.9669464,0.33091453,AT50441,0.008,0.081,-0.115,2.774,2.82,AT1,AT11,NA
50446,AT,AT13,2,0.7417395,0.33091453,AT50446,1.323,0.214,-0.23,-0.295,-0.854,AT1,AT13,NA
50465,AT,AT13,2,0.7803352,0.33091453,AT50465,2.429,0.235,2.496,0.231,-1.772,AT1,AT13,NA
50489,AT,AT13,2,1.5597948,0.33091453,AT50489,0.689,0.604,-0.093,0.921,1.778,AT1,AT13,NA
50512,AT,AT34,2,1.4378188,0.33091453,AT50512,1.438,0.446,-0.993,0.319,-0.787,AT3,AT34,NA
50517,AT,AT22,2,0.9332868,0.33091453,AT50517,0.338,-1.157,0.565,0.463,0.17,AT2,AT22,NA
50577,AT,AT31,2,0.82740283,0.33091453,AT50577,-2.982,-0.189,-0.67,-0.782,-0.624,AT3,AT31,NA
50591,AT,AT31,2,0.41601875,0.33091453,AT50591,-1.077,0.925,-3.576,-3.294,-4.535,AT3,AT31,NA
50623,AT,AT11,2,0.9099707,0.33091453,AT50623,1.324,0.369,3.428,3.528,3.652,AT1,AT11,NA
50637,AT,AT13,2,0.68042654,0.33091453,AT50637,1.127,0.32,0.707,0.598,1.077,AT1,AT13,NA
50638,AT,AT31,2,0.55606145,0.33091453,AT50638,-1.692,0.246,-1.024,-1.834,-1.434,AT3,AT31,NA
50651,AT,AT12,2,0.4991056,0.33091453,AT50651,0.576,0.902,0.84,-0.717,-0.916,AT1,AT12,NA
50681,AT,AT21,2,1.159529,0.33091453,AT50681,-1.441,-0.387,-0.095,-1.475,-1.038,AT2,AT21,NA
50687,AT,AT13,2,0.7417395,0.33091453,AT50687,1.064,-0.596,0.906,0.946,1.219,AT1,AT13,NA
50707,AT,AT33,2,1.021017,0.33091453,AT50707,-1.333,0.103,-0.316,-0.584,-1.609,AT3,AT33,NA
50714,AT,AT21,2,2.319058,0.33091453,AT50714,0.309,-0.536,0.275,3.005,1.717,AT2,AT21,NA
50730,AT,AT34,2,0.80748725,0.33091453,AT50730,0.965,-0.243,2.224,1.154,1.448,AT3,AT34,NA
50735,AT,AT12,2,0.3912093,0.33091453,AT50735,-0.287,0.78,-2.453,-2.8,-3.304,AT1,AT12,NA
50868,AT,AT21,2,0.4114013,0.33091453,AT50868,-1.624,0.794,0.176,-0.989,0.175,AT2,AT21,NA
50897,AT,AT12,2,0.5487113,0.33091453,AT50897,1.354,0.327,-0.539,3.902,3.524,AT1,AT12,NA
50910,AT,AT11,2,0.5079797,0.33091453,AT50910,-0.5,-0.047,2.845,4.652,3.493,AT1,AT11,NA
50994,AT,AT13,2,1.483479,0.33091453,AT50994,-0.639,-0.741,-4.024,-2.523,-1.247,AT1,AT13,NA
50995,AT,AT12,2,1.2219335,0.33091453,AT50995,0.333,0.584,-1.547,-0.652,-0.978,AT1,AT12,NA
51015,AT,AT33,2,0.9658987,0.33091453,AT51015,-2.037,-1.094,-1.383,-2.35,-3.575,AT3,AT33,NA
51029,AT,AT13,2,0.65483123,0.33091453,AT51029,-0.541,-0.3,0.735,-0.064,0.074,AT1,AT13,NA
51042,AT,AT31,2,1.6681843,0.33091453,AT51042,-1.666,-0.27,-1.178,-1.857,-1.625,AT3,AT31,NA
51046,AT,AT34,2,0.47378042,0.33091453,AT51046,-1.042,-0.244,-2.942,-1.192,0.469,AT3,AT34,NA
51086,AT,AT31,2,0.41370142,0.33091453,AT51086,2.132,1.279,-1.565,1.629,1.618,AT3,AT31,NA
51112,AT,AT12,2,1.6209534,0.33091453,AT51112,0.849,0.062,-0.013,0.031,0.963,AT1,AT12,NA
51128,AT,AT13,2,2.2314548,0.33091453,AT51128,1.082,0.597,0.179,-0.389,-1.776,AT1,AT13,NA
51136,AT,AT34,2,1.2440618,0.33091453,AT51136,1.173,0.572,0.945,1.436,0.707,AT3,AT34,NA
51190,AT,AT12,2,1.073635,0.33091453,AT51190,0.965,-0.631,-0.459,-0.261,-0.382,AT1,AT12,NA
51191,AT,AT31,2,0.8656501,0.33091453,AT51191,1.725,-1.309,-0.248,-3.177,0.798,AT3,AT31,NA
51192,AT,AT12,2,0.99821126,0.33091453,AT51192,0.41,0.653,-0.87,-1.536,-1.255,AT1,AT12,NA
51221,AT,AT31,2,1.3078376,0.33091453,AT51221,1.471,0.295,2.429,0.609,0.925,AT3,AT31,NA
51224,AT,AT12,2,0.8146224,0.33091453,AT51224,0.468,0.733,0.008,1.779,1.939,AT1,AT12,NA
51259,AT,AT21,2,0.426831,0.33091453,AT51259,0.973,0.682,0.118,1.106,1.118,AT2,AT21,NA
51262,AT,AT13,2,1.3870435,0.33091453,AT51262,0.66,0.108,-0.051,-1.228,0.243,AT1,AT13,NA
51285,AT,AT12,2,1.6104527,0.33091453,AT51285,-1.885,0.134,-2.493,-2.825,-3.211,AT1,AT12,NA
51322,AT,AT33,2,0.340339,0.33091453,AT51322,0.058,-0.234,-2.909,-1.693,0.507,AT3,AT33,NA
51414,AT,AT31,2,0.5560615,0.33091453,AT51414,0.673,-0.253,-1.014,-2.023,-2.783,AT3,AT31,NA
51440,AT,AT32,2,0.581818,0.33091453,AT51440,-1.15,-0.502,0.573,-3.178,-2.445,AT3,AT32,NA
51455,AT,AT12,2,2.165643,0.33091453,AT51455,1.038,0.067,-0.2,0.118,0.876,AT1,AT12,NA
51503,AT,AT22,2,0.37437,0.33091453,AT51503,-1.276,0.619,-2.377,0.92,0.791,AT2,AT22,NA
51506,AT,AT12,2,2.495528,0.33091453,AT51506,0.235,0.066,0.522,0.034,-0.955,AT1,AT12,NA
51521,AT,AT13,2,1.3608531,0.33091453,AT51521,0.577,0.353,1.786,2.225,2.161,AT1,AT13,NA
51555,AT,AT12,2,0.53514904,0.33091453,AT51555,0.021,-0.073,-1.66,-1.966,-2.721,AT1,AT12,NA
