idno,cntry,region,regunit,dweight,pweight,ppltrst,pplfair,pplhlp,sclmeet,inprdsc,sclact,imbgeco,imueclt,imwbcnt,trstprl,trstplt,trstprt,stfgov,stfdem,stfedu,stfhlth,unique_id,nuts1,nuts2,nuts3,nuts1_num,row_id
50014,AT,AT31,2,1.1851145,0.33091453,5,5,5,4,1,3,7,3,5,6,5,5,4,6,8,8,AT50014,AT3,AT31,NA,3,1
50030,AT,AT22,2,0.6098981,0.33091453,10,0,1,7,4,4,6,5,9,6,1,0,5,7,10,10,AT50030,AT2,AT22,NA,2,2
50057,AT,AT33,2,1.3923296,0.33091453,6,9,8,4,4,3,9,9,8,7,4,4,5,6,5,8,AT50057,AT3,AT33,NA,3,3
50106,AT,AT31,2,0.5560615,0.33091453,6,6,6,6,3,3,6,6,5,5,3,3,4,6,5,2,AT50106,AT3,AT31,NA,3,4
50145,AT,AT32,2,0.7227953,0.33091453,6,3,8,5,4,3,10,10,10,6,5,5,7,8,9,9,AT50145,AT3,AT32,NA,3,5
50158,AT,AT33,2,0.9926053,0.33091453,8,8,4,6,4,2,5,6,6,3,5,5,2,3,3,7,AT50158,AT3,AT33,NA,3,6
50211,AT,AT12,2,0.5403178,0.33091453,7,7,8,4,2,3,NA,3,2,6,4,5,3,6,NA,7,AT50211,AT1,AT12,NA,1,7
50212,AT,AT12,2,0.81462234,0.33091453,8,8,8,4,2,3,6,8,7,9,7,6,6,8,6,7,AT50212,AT1,AT12,NA,1,8
50213,AT,AT11,2,1.3649563,0.33091453,7,8,7,4,4,3,7,5,5,6,3,2,5,8,9,9,AT50213,AT1,AT11,NA,1,9
50235,AT,AT31,2,0.872949,0.33091453,3,4,3,3,1,1,5,0,0,8,8,8,8,7,8,9,AT50235,AT3,AT31,NA,3,10
50236,AT,AT13,2,0.6989865,0.33091453,5,5,6,4,2,3,6,6,6,6,6,6,6,6,6,6,AT50236,AT1,AT13,NA,1,11
50238,AT,AT31,2,0.8320375,0.33091453,5,7,7,4,3,2,10,8,6,6,3,3,4,9,8,8,AT50238,AT3,AT31,NA,3,12
50240,AT,AT31,2,0.87345386,0.33091453,6,7,6,6,2,3,5,5,5,6,9,9,10,7,8,8,AT50240,AT3,AT31,NA,3,13
50248,AT,AT31,2,0.9025512,0.33091453,3,5,5,4,3,2,6,3,2,3,0,0,0,0,7,8,AT50248,AT3,AT31,NA,3,14
50270,AT,AT32,2,0.58181804,0.33091453,8,8,9,6,4,3,5,6,3,7,8,7,4,8,8,3,AT50270,AT3,AT32,NA,3,15
50281,AT,AT13,2,0.69352174,0.33091453,3,8,9,6,2,3,8,10,7,2,2,2,2,7,0,7,AT50281,AT1,AT13,NA,1,16
50310,AT,AT22,2,2.3245115,0.33091453,8,8,8,6,6,3,8,5,5,7,6,6,0,7,7,5,AT50310,AT2,AT22,NA,2,17
50311,AT,AT33,2,0.9926053,0.33091453,4,5,5,2,1,4,5,5,5,2,5,5,4,4,4,7,AT50311,AT3,AT33,NA,3,18
50324,AT,AT12,2,1.0702981,0.33091453,2,2,2,2,4,1,7,7,7,4,1,1,NA,8,4,8,AT50324,AT1,AT12,NA,1,19
50339,AT,AT31,2,0.5560615,0.33091453,4,5,6,6,4,3,7,5,5,5,3,3,NA,8,7,7,AT50339,AT3,AT31,NA,3,20
50341,AT,AT33,2,0.48294935,0.33091453,5,7,7,6,2,2,6,4,4,7,8,8,8,8,9,10,AT50341,AT3,AT33,NA,3,21
50349,AT,AT33,2,0.9926053,0.33091453,5,7,6,5,2,2,6,6,5,4,6,6,7,7,5,8,AT50349,AT3,AT33,NA,3,22
50355,AT,AT13,2,0.7366085,0.33091453,5,5,5,6,3,3,3,4,3,4,2,2,2,3,4,6,AT50355,AT1,AT13,NA,1,23
50358,AT,AT34,2,1.9501987,0.33091453,4,6,4,6,4,4,1,1,1,3,2,2,0,1,2,3,AT50358,AT3,AT34,NA,3,24
50363,AT,AT12,2,1.9560468,0.33091453,7,7,7,6,4,4,6,6,5,5,4,4,5,6,6,6,AT50363,AT1,AT12,NA,1,25
50367,AT,AT22,2,0.6098981,0.33091453,10,9,7,4,4,2,5,7,4,0,0,0,0,3,7,9,AT50367,AT2,AT22,NA,2,26
50375,AT,AT12,2,1.4462273,0.33091453,8,7,7,4,3,3,6,5,5,5,4,2,5,8,8,9,AT50375,AT1,AT12,NA,1,27
50380,AT,AT31,2,1.298475,0.33091453,5,3,6,6,4,4,5,0,0,2,0,2,0,2,9,8,AT50380,AT3,AT31,NA,3,28
50412,AT,AT22,2,1.329427,0.33091453,7,9,7,4,3,3,5,4,4,5,3,2,6,7,7,7,AT50412,AT2,AT22,NA,2,29
50423,AT,AT22,2,0.4598905,0.33091453,4,4,4,4,4,2,5,5,7,2,1,2,2,3,6,7,AT50423,AT2,AT22,NA,2,30
50427,AT,AT32,2,1.4547197,0.33091453,5,7,6,3,3,2,7,2,4,0,0,0,0,0,8,8,AT50427,AT3,AT32,NA,3,31
50433,AT,AT13,2,0.6670056,0.33091453,8,10,8,4,2,3,8,8,7,5,3,3,6,5,4,7,AT50433,AT1,AT13,NA,1,32
50441,AT,AT11,2,0.9669464,0.33091453,6,6,6,5,3,3,5,4,5,8,8,7,8,9,8,9,AT50441,AT1,AT11,NA,1,33
