region,pop_size
AL,2291065
AL0,2291065
AL01,629885
AL011,83954
AL012,237327
AL013,55497
AL014,93792
AL015,159315
AL02,969068
AL021,208448
AL022,760620
AL03,692112
AL031,94185
AL032,229197
AL033,46228
AL034,164046
AL035,158456
AT,7789728
AT1,3423938
AT11,261372
AT111,33088
AT112,142139
AT113,86145
AT12,1468101
AT121,211169
AT122,228111
AT123,136913
AT124,187904
AT125,110287
AT126,291417
AT127,302300
AT13,1694465
AT130,1694465
AT2,1588087
AT21,493928
AT211,257491
AT212,107817
AT213,128620
AT22,1094159
AT221,396664
AT222,69291
AT223,139263
AT224,229931
AT225,172829
AT226,86181
AT3,2777703
AT31,1291498
AT311,251498
AT312,517887
AT313,179540
AT314,134601
AT315,207972
AT32,485158
AT321,17617
AT322,146162
AT323,321379
AT33,659177
AT331,28869
AT332,272000
AT333,41827
AT334,90707
AT335,225774
AT34,341870
AT341,79316
AT342,262554
BE,9804276
BE1,1020305
BE10,1020305
BE100,1020305
BE2,5698334
BE21,1594362
BE211,891751
BE212,299187
BE213,403424
BE22,762917
BE223,178069
BE224,365302
BE225,219546
BE23,1313429
BE231,253591
BE232,173888
BE233,75673
BE234,484879
BE235,107026
BE236,218372
BE24,986980
BE241,544222
BE242,442758
BE25,1040646
BE251,248147
BE252,43832
BE253,90835
BE254,250846
BE255,138654
BE256,132743
BE257,80070
BE258,55519
BE3,3085637
BE31,345951
BE310,345951
BE32,1133777
BE323,218009
BE328,190243
BE329,118886
BE32A,109448
BE32B,329591
BE32C,89584
BE32D,78016
BE33,934695
BE331,96736
BE332,525476
BE334,70280
BE335,175577
BE336,66626
BE34,246520
BE341,54666
BE342,42321
BE343,49366
BE344,54387
BE345,45780
BE35,424694
BE351,95771
BE352,271260
BE353,57663
BG,5534291
BG3,2690429
BG31,582645
BG311,64356
BG312,101167
BG313,127888
BG314,191209
BG315,98025
BG32,600174
BG321,178388
BG322,84667
BG323,166138
BG324,87791
BG325,83190
BG33,707997
BG331,366848
BG332,128185
BG333,129680
BG334,83284
BG34,799613
BG341,321311
BG342,138414
BG343,91089
BG344,248799
BG4,2843862
BG41,1725455
BG411,1091763
BG412,195071
BG413,246176
BG414,97068
BG415,95377
BG42,1118407
BG421,538380
BG422,178107
BG423,194098
BG424,83234
BG425,124588
CH,7488624
CH0,7488624
CH01,1435874
CH011,696990
CH012,305749
CH013,433135
CH02,1632367
CH021,899085
CH022,279393
CH023,241081
CH024,150063
CH025,62745
CH03,1022689
CH031,170047
CH032,251814
CH033,600828
CH04,1339323
CH040,1339323
CH05,1034689
CH051,35451
CH052,73009
CH053,46944
CH054,13822
CH055,444637
CH056,176156
CH057,244670
CH06,714778
CH061,359394
CH062,31863
CH063,140999
CH064,32915
CH065,38504
CH066,111103
CH07,308904
CH070,308904
CY,802574
CY0,802574
CY00,802574
CY000,802574
CZ,9076721
